Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,Region,City,State,Product_Name,Category,Sub category,Price,Sales,Quantity,Discount %,Profit,Sales_Channel,Payment_Mode
ORD-100015,13-07-2023,CUST-1002,  Pooja Verma,Home Office,East,Kolkata,Delhi,Dining Table,Furniture,Chairs,3306.74,893.6675156236229,1,5,409.13,Offline,upi
ORD-100016,11-05-2023,CUST-1505,Ravi Kumar,Consumer, north,Bengaluru,Karnataka,Dining Table,Office Supplies,Binders,1451.9,784.7711674013123,2,5,682.11,Offline,Debit Card
ORD-100017,07-08-2024,CUST-1840,Amit Sharma,Consumer, north,Chennai,Karnataka,iPhone,Office Supplies,Storage,3569.76,4823.756323683636,5,5,947.43,Offline,upi
ORD-100018,23-04-2024,CUST-1590,Neha Singh,Home Office,South,Kolkata,Maharashtra,Office Chair,Office Supplies,Binders,3629.36,7433.874826858083,8,10,-3960.01,Online,upi
ORD-100019,27-05-2024,CUST-1000,Amit Sharma,Consumer,North,Mumbai,Delhi,USB Cable,Office Supplies,Chairs,2597.62,1330.1518673685891,2,10,847.02,Offline,upi
ORD-100020,13-06-2023,CUST-1412,Neha Singh,Corporate, north,Kolkata,Tamil Nadu,Ring Binder,Office Supplies,Phones,456.37,662.1258693381377,6,15,385.7,Online,UPI
ORD-100021,01-01-2023,CUST-1793,  Pooja Verma,Consumer,East,Kolkata,Maharashtra,Office Chair,Technology,Accessories,2755.0,5329.4605073193325,8,15,924.82,Offline,upi
ORD-100022,01-11-2023,CUST-1125,  Pooja Verma,Corporate,South,Delhi,Tamil Nadu,USB Cable,Furniture,Accessories,Five Thousand,929.6827659826827,4,,-255.92,online ,upi
ORD-100023,27-11-2023,CUST-1228,Neha Singh,Consumer,West,Bengaluru,Delhi,Dining Table,Furniture,Binders,2006.68,68503.39582039644,6, ,1988.37,online ,Credit Card
ORD-100024,26-08-2023,CUST-1524,  Pooja Verma,Corporate,East,Bengaluru,West Bengal,iPhone,Office Supplies,Binders,2914.25,2487.14320755664,3, ,97.36,Offline,Debit Card
ORD-100025,14-01-2023,CUST-1817,Ravi Kumar,Home Office,East,Chennai,Delhi,Dining Table,Furniture,Phones,1068.89,2310.995633545374,8,5,401.1,Online,Cash
ORD-100026,05-04-2024,CUST-1072,  Pooja Verma,Corporate,East,Delhi,Delhi,Dining Table,Office Supplies,Phones,1935.58,1982.286776259569,4,10,-424.07,Online,UPI
ORD-100027,11-03-2024,CUST-1111,Neha Singh,Home Office,South,Chennai,Maharashtra,Dining Table,Office Supplies,Binders,1010.78,244.4143957226688,1,15,-158.56,Offline,Cash
ORD-100028,12-01-2023,CUST-1679,  Pooja Verma,Corporate,West,Chennai,West Bengal,USB Cable,Technology,Binders,685.93,,2,0,307.39,Online,UPI
ORD-100029,17-10-2023,CUST-1725,Neha Singh,consumer ,West,Bengaluru,Delhi,Ring Binder,Technology,Chairs,2105.74,5990.422850796739,10,,4352.79,online ,UPI
ORD-100030,29-01-2024,CUST-1854,Amit Sharma,consumer ,North,Chennai,Tamil Nadu,USB Cable,Office Supplies,Binders,4037.38,5455.644744675293,5,5,1537.7,Online,UPI
ORD-100031,23-01-2023,CUST-1748,  Pooja Verma,Home Office,West,Delhi,Maharashtra,iPhone,Furniture,Phones,645.09,1486.4768296498448,9,10,-247.98,Online,Debit Card
ORD-100032,26-02-2024,CUST-1656,Ravi Kumar,Consumer,West,Bengaluru,Maharashtra,Office Chair,Technology,Chairs,3312.59,8481.309823714559,9,0,4527.98,Online,Debit Card
ORD-100033,19-02-2024,CUST-1261,Amit Sharma,Corporate,East,Kolkata,Tamil Nadu,Ring Binder,Technology,Phones,3170.43,108231.11866907505,6,,4006.37,Offline,Debit Card
ORD-100034,14-07-2024,CUST-1551,Amit Sharma,Home Office,East,Bengaluru,Tamil Nadu,iPhone,Office Supplies,Accessories,4990.09,8517.50429688346,6,0,6970.67,Online,Credit Card
ORD-100035,14-03-2024,CUST-1876,Amit Sharma,consumer ,East,,,Office Chair,Office Supplies,Accessories,1170.56,1332.0066812101456,4, ,585.96,Online,
ORD-100036,09-08-2023,CUST-1210,Ravi Kumar,CORPORATE,North,Delhi,West Bengal,Ring Binder,Technology,Phones,1331.8,2879.4221110133417,8,5,-834.95,online ,Credit Card
ORD-100037,14-08-2023,CUST-1710,Ravi Kumar,consumer ,South,Mumbai,Tamil Nadu,Dining Table,Furniture,Phones,1367.64,2801.28381072801,8,10,824.08,online ,Cash
ORD-100038,03-10-2023,CUST-1492,Neha Singh,Consumer,North,Delhi,Tamil Nadu,USB Cable,Furniture,Phones,4940.25,8432.433203144335,6,0,5567.96,online ,UPI
ORD-100039,17-02-2023,CUST-1048,Neha Singh,Corporate,South,Delhi,West Bengal,iPhone,Furniture,Tables,Five Thousand,181.55555117813591,1,15,30.42,online ,Cash
ORD-100040,12-12-2023,CUST-1108,Ravi Kumar,CORPORATE, north,Delhi,Tamil Nadu,USB Cable,Technology,Chairs,1172.48,2534.964404913338,8,5,2004.76,Offline,UPI
ORD-100041,20-05-2024,CUST-1770,Neha Singh,Home Office,North,Chennai,Delhi,Ring Binder,Technology,Accessories,3918.78,8918.536669957448,8,,3513.06,online ,Cash
ORD-100042,22-05-2024,CUST-1118,Neha Singh,Corporate, north,Bengaluru,Karnataka,Office Chair,Technology,Binders,1826.35,1324.880440913981,3,15,-926.27,Offline,Debit Card
ORD-100043,05-07-2023,CUST-1277,Neha Singh,Home Office,West,Chennai,West Bengal,Ring Binder,Technology,Storage,2227.76,5703.7915265331185,9,0,5030.74,online ,Debit Card
ORD-100044,05-02-2024,CUST-1202,Ravi Kumar,Corporate, north,Delhi,Karnataka,Ring Binder,Office Supplies,Tables,2685.42,2597.430666160118,4,15,2377.35,Online,upi
ORD-100045,11-08-2024,CUST-1649,  Pooja Verma,Consumer,North,Kolkata,Delhi,iPhone,Office Supplies,Tables,1686.04,2733.9813784219564,6,5,-895.76,online ,Credit Card
ORD-100046,23-10-2023,CUST-1460,Neha Singh,Home Office,West,Kolkata,Maharashtra,USB Cable,Office Supplies,Accessories,2732.5,1399.2180797080248,2,10,212.66,Online,Credit Card
ORD-100047,13-12-2023,CUST-1950,  Pooja Verma,Home Office,South,Mumbai,Tamil Nadu,Ring Binder,Office Supplies,Accessories,1790.31,4329.121282160664,10,15,3384.59,Offline,Debit Card
ORD-100048,03-03-2024,CUST-1585,  Pooja Verma,Consumer,North,Delhi,Delhi,Dining Table,Furniture,Accessories,4285.48,1036.2662865160585,1,15,969.39,Offline,upi
ORD-100049,19-02-2023,CUST-1420,Ravi Kumar,Home Office,East,Mumbai,Maharashtra,iPhone,Technology,Chairs,1705.01,4365.381185879193,9,,1890.17,Offline,upi
ORD-100050,19-01-2024,CUST-1531,Ravi Kumar,Corporate, north,Bengaluru,Delhi,USB Cable,Furniture,Tables,2622.89,1902.7118486889826,3,15,1910.5,Offline,Credit Card
ORD-100051,25-11-2023,CUST-1911,Ravi Kumar,consumer ,East,Delhi,Maharashtra,Dining Table,Furniture,Phones,1958.25,1671.2527017921557,3,0,843.7,Online,UPI
ORD-100052,30-09-2023,CUST-1871,  Pooja Verma,Consumer,South,Chennai,West Bengal,Dining Table,Furniture,Binders,1704.52,2424.514792339049,5,,865.01,Online,Debit Card
ORD-100053,28-05-2024,CUST-1143,Ravi Kumar,consumer ,South,Bengaluru,Maharashtra,iPhone,Technology,Tables,4383.92,4988.561654157653,4, ,-1751.69,Offline,UPI
ORD-100054,27-11-2023,CUST-1929,Ravi Kumar,consumer , north,Kolkata,Tamil Nadu,Ring Binder,Office Supplies,Accessories,2114.92,5414.884357065133,9, ,2816.24,online ,UPI
ORD-100055,31-01-2023,CUST-1593,Neha Singh,Corporate,West,Mumbai,Maharashtra,Office Chair,Office Supplies,Binders,1058.56,1023.8743093782965,4,15,10.41,Online,upi
ORD-100056,24-08-2023,CUST-1179,Neha Singh,Consumer,East,Chennai,Delhi,USB Cable,Furniture,Accessories,1528.92,3479.585249856165,8, ,-1070.89,online ,Cash
ORD-100057,18-02-2023,CUST-1206,Ravi Kumar,Home Office,East,Delhi,Delhi,Dining Table,Furniture,Phones,700.12,1434.0271321087716,8,10,391.62,Online,Debit Card
ORD-100058,27-06-2024,CUST-1519,  Pooja Verma,Corporate,West,Mumbai,Delhi,Ring Binder,Technology,Binders,3797.09,972.1784855611689,1,10,542.81,Online,UPI
ORD-100059,09-07-2023,CUST-1391,Amit Sharma,Home Office,South,Bengaluru,West Bengal,USB Cable,Technology,Accessories,1849.23,4208.561227265988,8,,4177.46,Offline,Credit Card
ORD-100060,03-10-2023,CUST-1074,Amit Sharma,Consumer, north,Chennai,Maharashtra,Dining Table,Furniture,Binders,2994.53,4259.429212390029,5, ,-2984.05,Offline,Debit Card
ORD-100061,12-04-2023,CUST-1370,  Pooja Verma,Corporate,East,Delhi,Delhi,iPhone,Furniture,Phones,4243.01,3621.162735213142,3,0,2817.32,Online,Credit Card
ORD-100062,22-07-2024,CUST-1102,Ravi Kumar,Consumer,East,Chennai,Karnataka,Dining Table,Technology,Phones,4032.27,6882.6167566505355,6,,-3787.35,online ,Debit Card
ORD-100063,08-01-2024,CUST-1760,Ravi Kumar,Consumer,North,Kolkata,West Bengal,USB Cable,Furniture,Binders,2791.78,1350.1537019084428,2,15,-573.54,Online,Cash
ORD-100064,09-01-2024,CUST-1957,Amit Sharma,Home Office,East,Mumbai,Maharashtra,Ring Binder,Technology,Phones,555.07,631.6266987931551,4,,5.77,Online,Credit Card
ORD-100065,01-12-2023,CUST-1186,Amit Sharma,consumer ,North,Delhi,West Bengal,Ring Binder,Technology,Tables,273.2,466.3206823741779,6,,-88.54,Offline,Credit Card
ORD-100066,31-12-2023,CUST-1278,Neha Singh,Home Office,North,Delhi,Delhi,Ring Binder,Furniture,Binders,2084.44,1601.054256463549,3,10,1283.31,online ,Cash
ORD-100067,11-09-2023,CUST-1976,Neha Singh,Corporate,North,Kolkata,Karnataka,Office Chair,Furniture,Chairs,4556.1,11081.844173772128,9,5,9208.94,Online,Debit Card
ORD-100068,12-03-2024,CUST-1255,Ravi Kumar,Corporate,South,Mumbai,West Bengal,Office Chair,Office Supplies,Accessories,4606.94,9174.097017568489,7,0,8727.13,online ,upi
ORD-100069,23-09-2023,CUST-1478,Amit Sharma,Home Office,West,Mumbai,Delhi,Office Chair,Office Supplies,Storage,579.16,840.276187129244,6,15,429.25,Offline,Credit Card
ORD-100070,15-07-2024,CUST-1858,Neha Singh,CORPORATE,North,Mumbai,Tamil Nadu,USB Cable,Furniture,Storage,771.69,219.53087321945424,1,0,92.43,online ,Debit Card
ORD-100071,11-10-2023,CUST-1164,  Pooja Verma,Consumer,West,Delhi,Tamil Nadu,Dining Table,Technology,Binders,339.73,82.14947745802303,1,15,57.02,Online,upi
ORD-100072,04-08-2023,CUST-1766,Amit Sharma,consumer ,South,Delhi,Tamil Nadu,USB Cable,Furniture,Accessories,4549.67,3688.7354241372136,3,5,-2272.17,Online,Debit Card
ORD-100073,18-10-2023,CUST-1524,Amit Sharma,CORPORATE,North,Delhi,Tamil Nadu,Office Chair,Technology,Chairs,3009.14,5136.252628694852,6,0,-754.51,Online,upi
ORD-100074,11-03-2024,CUST-1682,  Pooja Verma,CORPORATE,South,Bengaluru,Delhi,Office Chair,Furniture,Tables,2114.53,3007.714349989844,5,,2002.25,online ,Credit Card
ORD-100075,29-06-2023,CUST-1126,Neha Singh,Corporate,South,Bengaluru,West Bengal,iPhone,Office Supplies,Storage,998.51,1420.2838718809187,5, ,519.06,Offline,Cash
ORD-100076,26-06-2024,CUST-1844,  Pooja Verma,consumer ,South,Kolkata,West Bengal,Dining Table,Furniture,Phones,3744.3,9586.628098537523,9, ,8508.04,Offline,Cash
ORD-100077,29-06-2023,CUST-1195,Neha Singh,Home Office,North,Kolkata,West Bengal,USB Cable,Office Supplies,Storage,4943.54,2390.7810767973638,2,15,-1486.98,Online,Debit Card
ORD-100078,13-10-2023,CUST-1577,Amit Sharma,consumer ,East,Chennai,West Bengal,Dining Table,Furniture,Phones,1397.94,2386.121283741428,6, ,1918.53,Offline,Cash
ORD-100079,12-10-2023,CUST-1137,  Pooja Verma,Home Office,South,Delhi,Tamil Nadu,Office Chair,Office Supplies,Binders,1928.78,109740.11783182857,10,0,363.87,Online,UPI
ORD-100080,01-06-2024,CUST-1833,Neha Singh,Home Office,West,Kolkata,Maharashtra,iPhone,Furniture,Tables,981.01,279.07836299163756,1,,61.32,online ,Debit Card
ORD-100081,02-03-2023,CUST-1341,Ravi Kumar,CORPORATE, north,Bengaluru,Delhi,Dining Table,Technology,Tables,3988.75,964.5145768354733,1,15,2.6,Online,Debit Card
ORD-100082,17-03-2024,CUST-1301,Amit Sharma,Home Office,West,Bengaluru,Tamil Nadu,Office Chair,Office Supplies,Storage,2084.65,3024.5186220175665,6,15,2927.31,Offline,upi
ORD-100083,17-12-2023,CUST-1047,Ravi Kumar,Home Office,East,Mumbai,Karnataka,Dining Table,Furniture,Phones,1287.37,366.23185509275584,1,,-14.22,online ,Credit Card
ORD-100084,27-09-2023,CUST-1023,Ravi Kumar,CORPORATE,West,Mumbai,Delhi,Dining Table,Office Supplies,Chairs,2441.48,4167.322912162913,6,0,850.93,Online,upi
ORD-100085,16-03-2024,CUST-1314,Neha Singh,Corporate,East,Chennai,West Bengal,USB Cable,Furniture,Tables,3623.13,3916.698303838836,4,5,252.35,Online,Debit Card
ORD-100086,20-05-2023,CUST-1348,Ravi Kumar,CORPORATE, north,Kolkata,Karnataka,Office Chair,Furniture,Storage,2709.35,2312.272951666323,3,,-1061.78,Online,UPI
ORD-100087,19-05-2024,CUST-1924,  Pooja Verma,Corporate, north,Chennai,Karnataka,Office Chair,Office Supplies,Binders,781.55,1400.714447929894,7,10,-532.11,Offline,Debit Card
ORD-100088,20-07-2024,CUST-1480,  Pooja Verma,CORPORATE,West,,,USB Cable,Technology,Chairs,2347.77,4808.843847982041,8,10,-1198.77,Online,
ORD-100089,05-09-2023,CUST-1510,Neha Singh,CORPORATE,West,Delhi,Maharashtra,USB Cable,Office Supplies,Accessories,1737.41,4942.595270642511,10,0,-125.27,Offline,Credit Card
ORD-100090,04-10-2023,CUST-1705,Ravi Kumar,consumer ,East,Kolkata,West Bengal,iPhone,Office Supplies,Binders,3774.36,10737.323881929004,10, ,-306.34,online ,Debit Card
ORD-100091,29-04-2024,CUST-1011,Neha Singh,Consumer,East,Delhi,West Bengal,iPhone,Office Supplies,Tables,1334.73,759.4097174051813,2,0,365.01,Offline,Cash
ORD-100092,13-07-2023,CUST-1493,Ravi Kumar,consumer ,West,Kolkata,Maharashtra,Office Chair,Office Supplies,Accessories,1885.47,536.3797321840174,1,0,-119.43,Online,Cash
ORD-100093,03-10-2023,CUST-1508,Ravi Kumar,Corporate,South,Kolkata,Maharashtra,USB Cable,Furniture,Binders,2716.63,3091.314678765649,4, ,1992.41,online ,Debit Card
ORD-100094,08-05-2023,CUST-1674,  Pooja Verma,CORPORATE,North,Delhi,Delhi,Office Chair,Office Supplies,Accessories,4583.69,3911.913339296661,3,0,-117.85,Offline,UPI
ORD-100095,12-03-2024,CUST-1250,Neha Singh,Consumer, north,Kolkata,Delhi,Ring Binder,Office Supplies,Accessories,4521.42,7717.539017936514,6,,-694.24,online ,upi
ORD-100096,03-03-2023,CUST-1067,Ravi Kumar,Corporate, north,Bengaluru,Tamil Nadu,USB Cable,Office Supplies,Binders,272.8,139.69137864386062,2,10,48.96,online ,Credit Card
ORD-100097,21-06-2024,CUST-1804,  Pooja Verma,Consumer, north,Chennai,Karnataka,Office Chair,Technology,Accessories,4303.39,7345.387120505906,6,0,-826.74,Offline,UPI
ORD-100098,06-08-2024,CUST-1215,Amit Sharma,CORPORATE,West,Bengaluru,Tamil Nadu,Office Chair,Office Supplies,Chairs,2046.23,582.1128415657114,1,,-149.19,Offline,Cash
ORD-100099,16-08-2024,CUST-1662,Ravi Kumar,CORPORATE,East,Chennai,Tamil Nadu,Ring Binder,Technology,Storage,1736.03,1975.4677750659935,4,0,-505.2,online ,UPI
ORD-100100,06-08-2023,CUST-1463,Amit Sharma,Consumer,West,Kolkata,Karnataka,USB Cable,Technology,Binders,3569.88,192956.73910617785,10,5,-2044.52,Offline,UPI
ORD-100101,19-07-2024,CUST-1199,Amit Sharma,consumer ,East,Mumbai,Tamil Nadu,iPhone,Furniture,Chairs,1248.86,1421.106020960995,4,,1420.24,Offline,Cash
ORD-100102,04-01-2023,CUST-1285,Neha Singh,consumer ,West,Chennai,West Bengal,Office Chair,Technology,Binders,4786.63,6127.667695845908,5,10,5052.54,online ,UPI
ORD-100103,01-06-2023,CUST-1718,Neha Singh,Corporate,East,Mumbai,Tamil Nadu,USB Cable,Furniture,Chairs,573.24,277.2292387630918,2,15,166.4,Online,Debit Card
ORD-100104,08-02-2023,CUST-1200,Ravi Kumar,Home Office,South,Kolkata,Karnataka,Office Chair,Office Supplies,Phones,1905.32,2303.613360663718,5,15,606.67,Offline,UPI
ORD-100105,20-01-2024,CUST-1616,Amit Sharma,Consumer,North,Delhi,Tamil Nadu,Dining Table,Technology,Chairs,3039.85,2205.185900381482,3,15,1478.41,online ,UPI
ORD-100106,21-02-2024,CUST-1170,Amit Sharma,Consumer,East,Delhi,West Bengal,USB Cable,Office Supplies,Storage,1398.3,1591.1571746310713,4, ,1459.64,Offline,Debit Card
ORD-100107,05-06-2024,CUST-1487,Neha Singh,consumer ,South,Bengaluru,Tamil Nadu,Ring Binder,Office Supplies,Tables,1183.63,2239.1870277346798,7,5,594.65,Online,Credit Card
ORD-100108,27-04-2024,CUST-1946,  Pooja Verma,Corporate,West,Delhi,West Bengal,Office Chair,Office Supplies,Tables,4155.91,11822.759804085345,10,0,2876.85,online ,Credit Card
ORD-100109,17-06-2023,CUST-1214,Amit Sharma,Home Office,East,Delhi,Karnataka,Ring Binder,Furniture,Chairs,2745.4,4686.0790680456375,6,0,1775.58,Offline,Cash
ORD-100110,29-12-2023,CUST-1620,Neha Singh,CORPORATE,North,Delhi,Tamil Nadu,USB Cable,Office Supplies,Binders,1166.23,1410.0226548157425,5,15,-31.23,Offline,upi
ORD-100111,28-01-2023,CUST-1773,Amit Sharma,Consumer,East,Kolkata,Karnataka,USB Cable,Technology,Chairs,2329.37,629.5272315921293,1,5,-342.39,Online,UPI
ORD-100112,10-04-2023,CUST-1312,Neha Singh,Corporate,East,Bengaluru,Maharashtra,Office Chair,Technology,Tables,905.66,1545.8564758382063,6, ,1536.77,Offline,Cash
ORD-100113,26-12-2023,CUST-1031,  Pooja Verma,Home Office,East,Delhi,West Bengal,iPhone,Office Supplies,Binders,1755.89,2497.5836474316598,5,,2169.01,online ,Cash
ORD-100114,23-04-2024,CUST-1579,Amit Sharma,CORPORATE, north,Chennai,West Bengal,Ring Binder,Office Supplies,Phones,4748.43,12832.944904559394,10,5,2062.2,online ,UPI
ORD-100115,03-08-2023,CUST-1541,Amit Sharma,consumer , north,Bengaluru,West Bengal,Dining Table,Technology,Chairs,3193.25,2452.726738453646,3,10,-988.5,online ,UPI
ORD-100116,26-03-2024,CUST-1976,Amit Sharma,Corporate,North,Delhi,Maharashtra,Dining Table,Technology,Binders,4550.95,11651.914949400249,9,,485.29,Online,upi
ORD-100117,16-06-2024,CUST-1980,  Pooja Verma,Home Office,North,Bengaluru,Maharashtra,Ring Binder,Office Supplies,Chairs,4861.87,,6,0,5003.94,online ,Debit Card
ORD-100118,30-05-2023,CUST-1627,  Pooja Verma,Consumer,South,Kolkata,Delhi,iPhone,Furniture,Storage,2515.43,6118.305437636456,9,5,-3907.0,Offline,UPI
ORD-100119,28-01-2024,CUST-1963,Amit Sharma,CORPORATE,East,Delhi,Karnataka,USB Cable,Furniture,Phones,2262.37,643.600489374615,1,,166.01,online ,UPI
ORD-100120,05-08-2023,CUST-1498,Ravi Kumar,Consumer,West,Chennai,Maharashtra,USB Cable,Office Supplies,Phones,3823.91,1849.309140968582,2,15,1076.57,online ,Cash
ORD-100121,12-10-2023,CUST-1511,Ravi Kumar,CORPORATE,South,,,USB Cable,Office Supplies,Accessories,4257.06,9688.409585689693,8,0,9687.08,online ,
ORD-100122,13-04-2024,CUST-1606,  Pooja Verma,Corporate,West,Delhi,Delhi,Ring Binder,Furniture,Phones,3395.51,1835.3183825747547,2,5,376.76,online ,Cash
ORD-100123,02-05-2023,CUST-1560,Neha Singh,Home Office,West,Chennai,Delhi,iPhone,Furniture,Phones,2578.02,733.396806719301,1,,520.98,online ,Cash
ORD-100124,23-04-2023,CUST-1670,  Pooja Verma,Home Office,West,Kolkata,Karnataka,Office Chair,Furniture,Tables,4943.38,14062.959582935968,10,,-7376.35,online ,upi
ORD-100125,08-11-2023,CUST-1520,  Pooja Verma,Corporate, north,Mumbai,Tamil Nadu,iPhone,Office Supplies,Phones,2743.07,5462.452366642847,7,,5128.0,online ,Credit Card
ORD-100126,28-07-2024,CUST-1655,  Pooja Verma,Home Office,South,Chennai,Tamil Nadu,Ring Binder,Office Supplies,Chairs,1088.44,928.9203578392209,3,0,594.8,online ,UPI
ORD-100127,14-05-2023,CUST-1542,Ravi Kumar,CORPORATE,East,Chennai,Tamil Nadu,iPhone,Technology,Binders,2227.81,2408.3221537099994,4,5,519.99,online ,upi
ORD-100128,22-03-2023,CUST-1317,Amit Sharma,consumer ,East,Chennai,Maharashtra,iPhone,Office Supplies,Binders,370.67,210.89688547539842,2,,-28.74,Online,upi
ORD-100129,09-08-2023,CUST-1267,Ravi Kumar,Corporate,West,Delhi,Karnataka,USB Cable,Technology,Accessories,659.2,1012.660082133793,6,10,-561.36,online ,Debit Card
ORD-100130,25-01-2023,CUST-1009,Amit Sharma,Consumer,West,,,USB Cable,Furniture,Chairs,954.29,1954.6352570265467,8,10,-660.77,online ,
ORD-100131,26-12-2023,CUST-1316,  Pooja Verma,Consumer, north,Bengaluru,Karnataka,Office Chair,Office Supplies,Tables,2617.44,3797.5151352928006,6,15,3284.11,Offline,Debit Card
ORD-100132,07-04-2024,CUST-1338,  Pooja Verma,Corporate, north,Chennai,West Bengal,Ring Binder,Technology,Storage,Five Thousand,1497.9357102538174,4,15,-809.7,online ,upi
ORD-100133,09-04-2024,CUST-1419,Neha Singh,Home Office,North,Chennai,West Bengal,iPhone,Office Supplies,Chairs,596.99,169.83210356915598,1,,94.71,online ,Debit Card
ORD-100134,15-07-2024,CUST-1654,Ravi Kumar,Corporate, north,Chennai,Maharashtra,iPhone,Furniture,Phones,Five Thousand,6202.895759076159,10,15,4790.33,Offline,UPI
ORD-100135,07-08-2024,CUST-1618,Amit Sharma,CORPORATE, north,Chennai,Karnataka,Dining Table,Furniture,Chairs,3174.36,4515.219989328012,5, ,-1176.04,online ,Debit Card
ORD-100136,13-01-2024,CUST-1585,Amit Sharma,Home Office, north,Bengaluru,West Bengal,Ring Binder,Furniture,Phones,1903.86,5416.11331347549,10,,1621.49,Online,Cash
ORD-100137,04-01-2023,CUST-1169,Amit Sharma,Consumer,West,,,Dining Table,Technology,Accessories,3726.08,1059.9976623845637,1,0,362.9,Offline,
ORD-100138,28-06-2023,CUST-1382,Neha Singh,Consumer,East,Kolkata,Karnataka,iPhone,Office Supplies,Tables,3480.78,6584.927669500212,7,5,2378.09,Offline,Debit Card
ORD-100139,03-01-2023,CUST-1218,Amit Sharma,Corporate,South,Bengaluru,Tamil Nadu,Office Chair,Technology,Chairs,2227.5,4435.764543630655,7,0,-1975.0,Offline,UPI
ORD-100140,27-04-2023,CUST-1537,Amit Sharma,Consumer, north,Bengaluru,Karnataka,Ring Binder,Furniture,Storage,2909.39,827.6651598905621,1,0,-41.94,online ,Credit Card
ORD-100141,02-07-2024,CUST-1982,Amit Sharma,CORPORATE,West,Delhi,Maharashtra,Office Chair,Office Supplies,Chairs,1548.23,3083.090343158379,7,,-1155.66,online ,upi
ORD-100142,08-07-2023,CUST-1032,  Pooja Verma,consumer , north,Mumbai,West Bengal,USB Cable,Furniture,Storage,1724.26,981.0372130191557,2,0,439.57,Online,upi
ORD-100143,27-01-2023,CUST-1041,Ravi Kumar,Consumer,East,Kolkata,Maharashtra,iPhone,Technology,Chairs,3824.55,7235.270350292755,7,5,5342.49,online ,Cash
ORD-100144,09-10-2023,CUST-1486,Neha Singh,Corporate, north,Chennai,Maharashtra,Dining Table,Technology,Tables,1592.15,27176.152065960738,3, ,-131.68,online ,upi
ORD-100145,29-09-2023,CUST-1149,  Pooja Verma,consumer ,South,Mumbai,Delhi,Ring Binder,Technology,Tables,510.2,137.88492651289673,1,5,122.97,online ,UPI
ORD-100146,12-02-2024,CUST-1415,  Pooja Verma,Home Office,West,Bengaluru,West Bengal,Office Chair,Furniture,Accessories,4230.98,,1,,117.29,online ,UPI
